mirna_id	target_gene_id
hsa-miR-186-5p	2752
hsa-miR-186-5p	262
hsa-miR-186-5p	57532
hsa-miR-186-5p	2247
hsa-miR-186-5p	5366
hsa-miR-186-5p	79576
hsa-miR-186-5p	23135
hsa-miR-186-5p	23731
hsa-miR-186-5p	6310
hsa-miR-186-5p	221937
hsa-miR-186-5p	390980
hsa-miR-125a-5p	1398
hsa-miR-125a-5p	6510
hsa-miR-125a-5p	84612
hsa-miR-125a-5p	30000
hsa-miR-125a-5p	55432
hsa-miR-125a-5p	6310
hsa-miR-9-5p	9906
hsa-miR-9-5p	55920
hsa-miR-9-5p	4194
hsa-miR-9-5p	127933
hsa-miR-9-5p	8085
hsa-miR-9-5p	7422
hsa-miR-9-5p	829
hsa-miR-9-5p	4627
hsa-miR-9-5p	5451
hsa-miR-191-5p	30000
hsa-miR-145-5p	7170
hsa-miR-145-5p	83999
hsa-miR-142-3p	3209
hsa-miR-142-3p	55038
hsa-miR-142-3p	285598
hsa-miR-142-3p	57551
hsa-miR-141-3p	7029
hsa-miR-141-3p	1871
hsa-miR-140-3p	27
hsa-miR-140-3p	829
hsa-miR-140-3p	57532
hsa-miR-133a-3p	23204
hsa-miR-133a-3p	7422
hsa-miR-132-3p	22834
hsa-miR-132-3p	161742
hsa-miR-128-3p	2627
hsa-miR-128-3p	3949
hsa-miR-128-3p	22834
hsa-miR-128-3p	2872
hsa-miR-128-3p	10472
hsa-miR-128-3p	6566
hsa-miR-128-3p	84665
hsa-miR-128-3p	57532
hsa-miR-128-3p	285598
hsa-miR-128-3p	10628
hsa-miR-124-3p	2627
hsa-miR-124-3p	55920
hsa-miR-124-3p	3949
hsa-miR-124-3p	51804
hsa-miR-124-3p	59338
hsa-miR-124-3p	811
hsa-miR-124-3p	84665
hsa-miR-124-3p	64866
hsa-miR-124-3p	4154
hsa-miR-124-3p	26036
hsa-miR-124-3p	256356
hsa-miR-124-3p	657
hsa-miR-124-3p	7803
hsa-miR-124-3p	79576
hsa-miR-124-3p	154043
hsa-miR-124-3p	10163
hsa-miR-124-3p	10981
hsa-miR-124-3p	1368
hsa-miR-124-3p	6498
hsa-miR-124-3p	64241
hsa-miR-124-3p	57532
hsa-miR-124-3p	116064
hsa-miR-124-3p	4881
hsa-miR-124-3p	23367
hsa-miR-124-3p	4026
hsa-miR-124-3p	1654
hsa-miR-124-3p	5768
hsa-miR-124-3p	1656
hsa-miR-124-3p	55333
hsa-miR-124-3p	27284
hsa-miR-124-3p	56889
hsa-miR-124-3p	10365
hsa-miR-124-3p	5888
hsa-miR-124-3p	55131
hsa-miR-124-3p	4150
hsa-miR-124-3p	9644
hsa-miR-124-3p	3842
hsa-miR-124-3p	6634
hsa-miR-124-3p	4784
hsa-miR-122-5p	811
hsa-miR-122-5p	84056
hsa-miR-122-5p	79718
hsa-miR-122-5p	11215
hsa-miR-122-5p	7798
hsa-miR-122-5p	9422
hsa-miR-122-5p	598
hsa-miR-122-5p	140707
hsa-miR-122-5p	5326
hsa-miR-122-5p	4150
hsa-miR-122-5p	84516
hsa-miR-122-5p	1385
hsa-miR-122-5p	5315
hsa-miR-122-5p	84823
hsa-miR-30b-5p	54813
hsa-miR-30b-5p	138151
hsa-miR-30b-5p	23119
hsa-miR-30b-5p	6659
hsa-miR-30b-5p	55432
hsa-miR-30b-5p	57551
hsa-miR-23b-3p	10146
hsa-miR-23b-3p	11215
hsa-miR-1-3p	132299
hsa-miR-1-3p	55920
hsa-miR-1-3p	84612
hsa-miR-1-3p	23468
hsa-miR-1-3p	389677
hsa-miR-1-3p	811
hsa-miR-1-3p	79628
hsa-miR-1-3p	55275
hsa-miR-1-3p	10945
hsa-miR-1-3p	57404
hsa-miR-1-3p	201626
hsa-miR-1-3p	7534
hsa-miR-1-3p	10163
hsa-miR-1-3p	595
hsa-miR-1-3p	7756
hsa-miR-1-3p	88745
hsa-miR-1-3p	29766
hsa-miR-1-3p	54431
hsa-miR-1-3p	1656
hsa-miR-1-3p	56886
hsa-miR-1-3p	55131
hsa-miR-1-3p	3178
hsa-miR-1-3p	23248
hsa-miR-1-3p	10146
hsa-miR-221-3p	22834
hsa-miR-221-3p	1871
hsa-miR-221-3p	23731
hsa-miR-221-3p	57649
hsa-miR-221-3p	7465
hsa-miR-221-3p	57532
hsa-miR-221-3p	90007
hsa-miR-221-3p	6310
hsa-miR-221-3p	84919
hsa-miR-218-5p	91408
hsa-miR-218-5p	84056
hsa-miR-215-5p	79441
hsa-miR-215-5p	84823
hsa-miR-215-5p	29127
hsa-miR-215-5p	132720
hsa-miR-215-5p	51804
hsa-miR-215-5p	2553
hsa-miR-215-5p	3480
hsa-miR-215-5p	116254
hsa-miR-215-5p	5451
hsa-miR-215-5p	10472
hsa-miR-215-5p	331
hsa-miR-215-5p	79980
hsa-miR-215-5p	8202
hsa-miR-215-5p	285172
hsa-miR-215-5p	5888
hsa-miR-215-5p	3209
hsa-miR-215-5p	64393
hsa-miR-215-5p	4194
hsa-miR-215-5p	81848
hsa-miR-215-5p	80218
hsa-miR-215-5p	2247
hsa-miR-215-5p	27161
hsa-miR-215-5p	163702
hsa-miR-215-5p	11215
hsa-miR-215-5p	22834
hsa-miR-215-5p	5326
hsa-miR-215-5p	1654
hsa-miR-215-5p	1398
hsa-miR-215-5p	5557
hsa-miR-215-5p	55038
hsa-miR-215-5p	84553
hsa-miR-215-5p	6632
hsa-miR-215-5p	6319
hsa-miR-204-5p	8091
hsa-miR-183-5p	6634
hsa-miR-183-5p	595
hsa-miR-183-5p	3480
hsa-miR-183-5p	57532
hsa-miR-183-5p	10628
hsa-miR-183-5p	2752
hsa-miR-183-5p	23112
hsa-miR-182-5p	3480
hsa-miR-181a-5p	79088
hsa-miR-181a-5p	22834
hsa-miR-181a-5p	7073
hsa-miR-181a-5p	6319
hsa-miR-181a-5p	3021
hsa-miR-181a-5p	222068
